name,playcount,listeners,url,artist
hope is a dangerous thing for a woman like me to have - but i have it,736286,114967,https://www.last.fm/music/Lana+Del+Rey/_/hope+is+a+dangerous+thing+for+a+woman+like+me+to+have+-+but+i+have+it,"{'name': 'Lana Del Rey', 'mbid': 'b7539c32-53e7-4908-bda3-81449c367da6', 'url': 'https://www.last.fm/music/Lana+Del+Rey'}"
Old Town Road - Remix,1757546,202061,https://www.last.fm/music/Lil+Nas+X/_/Old+Town+Road+-+Remix,"{'name': 'Lil Nas X', 'mbid': '', 'url': 'https://www.last.fm/music/Lil+Nas+X'}"
How Do You Sleep?,862241,88466,https://www.last.fm/music/Sam+Smith/_/How+Do+You+Sleep%3F,"{'name': 'Sam Smith', 'mbid': '5a85c140-dcf9-4dd2-b2c8-aff0471549f3', 'url': 'https://www.last.fm/music/Sam+Smith'}"
The Less I Know the Better,5433099,468608,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,"{'name': 'Tame Impala', 'mbid': '63aa26c3-d59b-4da4-84ac-716b54f1ef4d', 'url': 'https://www.last.fm/music/Tame+Impala'}"
Motivation,935325,61439,https://www.last.fm/music/Normani/_/Motivation,"{'name': 'Normani', 'mbid': '', 'url': 'https://www.last.fm/music/Normani'}"
Happiness Is a Butterfly,246395,60129,https://www.last.fm/music/Lana+Del+Rey/_/Happiness+Is+a+Butterfly,"{'name': 'Lana Del Rey', 'mbid': 'b7539c32-53e7-4908-bda3-81449c367da6', 'url': 'https://www.last.fm/music/Lana+Del+Rey'}"
Bartender,210912,60096,https://www.last.fm/music/Lana+Del+Rey/_/Bartender,"{'name': 'Lana Del Rey', 'mbid': 'b7539c32-53e7-4908-bda3-81449c367da6', 'url': 'https://www.last.fm/music/Lana+Del+Rey'}"
Pneuma,194957,59908,https://www.last.fm/music/Tool/_/Pneuma,"{'name': 'Tool', 'mbid': 'bbfa1e12-8b61-4ed8-bc6e-52d2298f41a2', 'url': 'https://www.last.fm/music/Tool'}"
Circles,275670,58518,https://www.last.fm/music/Post+Malone/_/Circles,"{'name': 'Post Malone', 'mbid': '', 'url': 'https://www.last.fm/music/Post+Malone'}"
bury a friend,2444488,238204,https://www.last.fm/music/Billie+Eilish/_/bury+a+friend,"{'name': 'Billie Eilish', 'mbid': '', 'url': 'https://www.last.fm/music/Billie+Eilish'}"
when the party's over,2587611,248478,https://www.last.fm/music/Billie+Eilish/_/when+the+party%27s+over,"{'name': 'Billie Eilish', 'mbid': '', 'url': 'https://www.last.fm/music/Billie+Eilish'}"
Miss Americana & the Heartbreak Prince,514929,56211,https://www.last.fm/music/Taylor+Swift/_/Miss+Americana+&+the+Heartbreak+Prince,"{'name': 'Taylor Swift', 'mbid': '20244d07-534f-4eff-b4d4-930878889970', 'url': 'https://www.last.fm/music/Taylor+Swift'}"
Small Talk,497712,56191,https://www.last.fm/music/Katy+Perry/_/Small+Talk,"{'name': 'Katy Perry', 'mbid': '122d63fc-8671-43e4-9752-34e846d62a9c', 'url': 'https://www.last.fm/music/Katy+Perry'}"
BOY BYE,425313,56133,https://www.last.fm/music/BROCKHAMPTON/_/BOY+BYE,"{'name': 'BROCKHAMPTON', 'mbid': '', 'url': 'https://www.last.fm/music/BROCKHAMPTON'}"
I Think He Knows,420508,55515,https://www.last.fm/music/Taylor+Swift/_/I+Think+He+Knows,"{'name': 'Taylor Swift', 'mbid': '20244d07-534f-4eff-b4d4-930878889970', 'url': 'https://www.last.fm/music/Taylor+Swift'}"
NO HALO,328857,54876,https://www.last.fm/music/BROCKHAMPTON/_/NO+HALO,"{'name': 'BROCKHAMPTON', 'mbid': '', 'url': 'https://www.last.fm/music/BROCKHAMPTON'}"
Paper Rings,410423,54478,https://www.last.fm/music/Taylor+Swift/_/Paper+Rings,"{'name': 'Taylor Swift', 'mbid': '20244d07-534f-4eff-b4d4-930878889970', 'url': 'https://www.last.fm/music/Taylor+Swift'}"
Invincible,180518,54395,https://www.last.fm/music/Tool/_/Invincible,"{'name': 'Tool', 'mbid': 'bbfa1e12-8b61-4ed8-bc6e-52d2298f41a2', 'url': 'https://www.last.fm/music/Tool'}"
Naeem,191217,53329,https://www.last.fm/music/Bon+Iver/_/Naeem,"{'name': 'Bon Iver', 'mbid': '437a0e49-c6ae-42f6-a6c1-84f25ed366bc', 'url': 'https://www.last.fm/music/Bon+Iver'}"
Beautiful People (feat. Khalid),676280,111479,https://www.last.fm/music/Ed+Sheeran/_/Beautiful+People+(feat.+Khalid),"{'name': 'Ed Sheeran', 'mbid': 'b8a7c51f-362c-4dcb-a259-bc6e0095f0a6', 'url': 'https://www.last.fm/music/Ed+Sheeran'}"
Cornelia Street,411788,52419,https://www.last.fm/music/Taylor+Swift/_/Cornelia+Street,"{'name': 'Taylor Swift', 'mbid': '20244d07-534f-4eff-b4d4-930878889970', 'url': 'https://www.last.fm/music/Taylor+Swift'}"
Slide Away,524050,51638,https://www.last.fm/music/Miley+Cyrus/_/Slide+Away,"{'name': 'Miley Cyrus', 'mbid': '7e9bd05a-117f-4cce-87bc-e011527a8b18', 'url': 'https://www.last.fm/music/Miley+Cyrus'}"
London Boy,379802,51624,https://www.last.fm/music/Taylor+Swift/_/London+Boy,"{'name': 'Taylor Swift', 'mbid': '20244d07-534f-4eff-b4d4-930878889970', 'url': 'https://www.last.fm/music/Taylor+Swift'}"
