song,performer,count,decade,main_performer,release_date,title,main_artist,spotify_id,spotify_link,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,explicit,genres,broad_genre
Perfect,Ed Sheeran,56,2010,Ed Sheeran,2017-03-03,Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,85,0.163,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,0.599,263400.0,0.448,0.0,8.0,0.106,-6.312,1.0,0.0232,95.05,3.0,0.168,False,"['pop', 'uk pop']",pop
Uptown Funk!,Mark Ronson Featuring Bruno Mars,56,2010,Mark Ronson ,2015-01-12,Uptown Funk,Mark Ronson,32OlwWuMpZ6b0aN2RZOeMS,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,79,0.00801,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,0.856,269667.0,0.609,8.15e-05,0.0,0.0344,-7.223,1.0,0.0824,114.988,4.0,0.928,False,"['dance pop', 'pop', 'tropical house']",pop
Some Nights,fun.,56,2010,fun.,2012-02-21,Some Nights,fun.,6t6oULCRS6hnI7rm0h5gwl,spotify:track:6t6oULCRS6hnI7rm0h5gwl,69,0.0178,https://api.spotify.com/v1/audio-analysis/6t6oULCRS6hnI7rm0h5gwl,0.672,277040.0,0.738,6.75e-05,0.0,0.0927,-7.045,1.0,0.0506,107.938,4.0,0.392,True,"['baroque pop', 'metropopolis', 'modern rock', 'pop', 'pop rap']",pop
Stay With Me,Sam Smith,54,2010,Sam Smith,2014-01-01,Stay With Me,Sam Smith,5Nm9ERjJZ5oyfXZTECKmRt,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,82,0.588,https://api.spotify.com/v1/audio-analysis/5Nm9ERjJZ5oyfXZTECKmRt,0.418,172724.0,0.42,6.39e-05,0.0,0.11,-6.444,1.0,0.0414,84.094,4.0,0.184,False,['pop'],pop
Cruise,Florida Georgia Line Featuring Nelly,54,2010,Florida Georgia Line ,2012-01-01,Cruise,Florida Georgia Line,0i5el041vd6nxrGEU8QRxy,spotify:track:0i5el041vd6nxrGEU8QRxy,70,0.0191,https://api.spotify.com/v1/audio-analysis/0i5el041vd6nxrGEU8QRxy,0.457,208960.0,0.948,0.0,10.0,0.0536,-3.364,1.0,0.0354,148.0,4.0,0.878,False,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",country
Wake Me Up!,Avicii,54,2010,Avicii,2013-01-01,Wake Me Up,Avicii,4h8VwCb1MTGoLKueQ1WgbD,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,82,0.00346,https://api.spotify.com/v1/audio-analysis/4h8VwCb1MTGoLKueQ1WgbD,0.518,247427.0,0.784,0.00187,2.0,0.171,-5.659,1.0,0.0524,124.102,4.0,0.588,False,"['big room', 'edm', 'pop']",pop
If I Die Young,The Band Perry,53,2010,The Band Perry,2010-01-01,If I Die Young,The Band Perry,4u26EevCNXMhlvE1xFBJwX,spotify:track:4u26EevCNXMhlvE1xFBJwX,66,0.348,https://api.spotify.com/v1/audio-analysis/4u26EevCNXMhlvE1xFBJwX,0.606,222773.0,0.497,0.0,4.0,0.275,-6.611,1.0,0.0277,130.739,4.0,0.362,False,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",country
Pompeii,Bastille,53,2010,Bastille,2013-01-01,Pompeii,Bastille,3gbBpTdY8lnQwqxNCcf795,spotify:track:3gbBpTdY8lnQwqxNCcf795,68,0.0755,https://api.spotify.com/v1/audio-analysis/3gbBpTdY8lnQwqxNCcf795,0.679,214148.0,0.715,0.0,9.0,0.271,-6.383,1.0,0.0407,127.435,4.0,0.571,False,"['metropopolis', 'modern rock', 'pop', 'tropical house']",pop
Shut Up And Dance,WALK THE MOON,53,2010,WALK THE MOON,2014-12-02,Shut Up and Dance,WALK THE MOON,0kzw2tRyuL9rzipi5ntlIy,spotify:track:0kzw2tRyuL9rzipi5ntlIy,79,0.00701,https://api.spotify.com/v1/audio-analysis/0kzw2tRyuL9rzipi5ntlIy,0.578,199080.0,0.866,0.0,1.0,0.257,-3.804,1.0,0.0619,128.038,4.0,0.619,False,"['indie pop', 'indie poptimism', 'indietronica', 'modern rock', 'pop', 'pop rock']",pop
Better Now,Post Malone,52,2010,Post Malone,2018-04-27,Better Now,Post Malone,7dt6x5M1jzdTEt8oCbisTK,spotify:track:7dt6x5M1jzdTEt8oCbisTK,86,0.354,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,0.68,231267.0,0.563,0.0,10.0,0.136,-5.843,1.0,0.0454,145.028,4.0,0.374,True,"['dfw rap', 'pop', 'rap']",rap
Stitches,Shawn Mendes,52,2010,Shawn Mendes,2015-04-14,Stitches,Shawn Mendes,5jsw9uXEGuKyJzs0boZ1bT,spotify:track:5jsw9uXEGuKyJzs0boZ1bT,73,0.0152,https://api.spotify.com/v1/audio-analysis/5jsw9uXEGuKyJzs0boZ1bT,0.746,206880.0,0.754,0.0,1.0,0.0486,-6.681,1.0,0.067,149.882,4.0,0.764,False,"['canadian pop', 'pop', 'viral pop']",pop
Closer,The Chainsmokers Featuring Halsey,52,2010,The Chainsmokers ,2016-07-29,Closer,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,83,0.414,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,0.748,244960.0,0.524,0.0,8.0,0.111,-5.599,1.0,0.0338,95.01,4.0,0.661,False,"['edm', 'electropop', 'pop', 'tropical house']",edm
See You Again,Wiz Khalifa Featuring Charlie Puth,52,2010,Wiz Khalifa ,2015,See You Again (feat. Charlie Puth),Wiz Khalifa,2JzZzZUQj3Qff7wapcbKjc,spotify:track:2JzZzZUQj3Qff7wapcbKjc,78,0.369,https://api.spotify.com/v1/audio-analysis/2JzZzZUQj3Qff7wapcbKjc,0.689,229526.0,0.481,1.03e-06,10.0,0.0649,-7.503,1.0,0.0815,80.025,4.0,0.283,False,"['hip hop', 'pittsburgh rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",rap
