song,performer,count,year
All Time High,Rita Coolidge,13,1983
As Long As You Follow,Fleetwood Mac,9,1989
Always And Forever,Luther Vandross,14,1995
Sweet Sexy Thing,Nu Flavor Featuring Roger,20,1997
Teacher Teacher,38 Special,12,1984
Tasty Love,Freddie Jackson,4,1987
Rockaway Beach,Ramones,9,1978
Some Days You Gotta Dance,Dixie Chicks,19,2002
Deeper,Boss,13,1993
Back Seat (Of My Jeep),LL Cool J,13,1993
Rhythm Of The Rain,Gary Lewis And The Playboys,12,1969
Cinnamon Girl,The Gentrys,12,1970
Tell Me Baby,Red Hot Chili Peppers,16,2006
(You Can Still) Rock In America,Night Ranger,7,1984
Bartender Song,Rehab,20,2008
Come See About Me,Jr. Walker & The All Stars,5,1968
Pledging My Love,Roy Hamilton,5,1959
Sugar Daddy,Thompson Twins,12,1989
Away From The Sun,3 Doors Down,15,2004
Swingin' Gently,Earl Grant,11,1962
Out Of Tears,The Rolling Stones,12,1994
Replay,Zendaya,17,2013
Do I Wanna Know?,Arctic Monkeys,18,2014
Romeo,Dolly Parton & Friends,14,1993
Rip Off,Laura Lee,11,1972
Crazy Girl,Eli Young Band,36,2011
Take A Look,J'Son,12,1996
Strip,Adam Ant,13,1984
Charlie Last Name: Wilson,Charlie Wilson,14,2005
Put A Date On It,Yo Gotti Featuring Lil Baby,20,2019
"Sitting, Waiting, Wishing",Jack Johnson,19,2005
Step Into A World (Rapture's Delight),KRS-One,13,1997
Passionate Kisses,Mary Chapin Carpenter,11,1993
Big Fun,Kool & The Gang,11,1982
Someone You Used To Know,Collin Raye,8,1999
Tears,The Isley Brothers,11,1997
Could I Be Dreaming,The Pointer Sisters,3,1981
Doesn't Remind Me,Audioslave,11,2005
DOA,Foo Fighters,4,2006
Dance Into The Light,Phil Collins,6,1997
Angeline Is Coming Home,The Badlees,11,1996
Pimp Of The Year,Dru Down,14,1995
Cheeseburger In Paradise,Jimmy Buffett,11,1978
Don Quichotte,Magazine 60,11,1986
Tell Me,White Lion,11,1988
Planet Rock,Afrika Bambaataa & The Soul Sonic Force,11,1982
Don't Take It Personal,Jermaine Jackson,6,1990
Baby,LL Cool J Featuring The-Dream,11,2008
All Jacked Up,Gretchen Wilson,11,2005
She's Strange,Cameo,11,1984
5-4-3-2 (Yo! Time Is Up),Jade,13,1994
DJ Girl,Katalina,11,1996
Papa Don't Take No Mess (Part I),James Brown,11,1974
Stuck,Stacie Orrico,11,2003
Disco Lady,Johnnie Taylor,19,1976
Stayin' Alive,Bee Gees,23,1978
Crazy Little Thing Called Love,Queen,20,1980
Check On It,Beyonce Featuring Slim Thug,21,2006
Rude,MAGIC!,34,2014
Diamond Teeth Samurai,YoungBoy Never Broke Again,5,2018
Borrowed Dreams,Bobby Helms,2,1958
The Fish,Bobby Rydell,7,1961
Take It Like A Man,Bachman-Turner Overdrive,7,1976
Biggest Part Of Me,Ambrosia,19,1980
Country Boy,Fats Domino,10,1960
Better With The Lights Off,New Boyz Featuring Chris Brown,19,2011
RGF Island,Fetty Wap,10,2015
Cracklin' Rosie,Neil Diamond,15,1970
Don't Look Back,Boston,13,1978
Promises Broken,Soul Asylum,5,1996
Breathe,Michelle Branch,8,2003
Caught Their Eyes,JAY-Z Featuring Frank Ocean,1,2017
Ain't Too Proud To Beg,The Rolling Stones,8,1974
Anthony Boy,Chuck Berry,5,1959
Don't Throw Away All Those Teardrops,Frankie Avalon,10,1960
Doll Parts,Hole,4,1994
Running Out Of Time,"Tyler, The Creator",1,2019
Spanish Flea,Herb Alpert & The Tijuana Brass,7,1966
Crying,Jay & The Americans,6,1966
Popsicle,Jan & Dean,9,1966
Bad Blood,Neil Sedaka,14,1975
Remember The Name,Fort Minor Featuring Styles Of Beyond,6,2006
Somebody That I Used To Know,Christina Grimmie & Adam Levine,1,2014
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May",1,2019
Bangla-Desh/Deep Blue,George Harrison,7,1971
Tattoo,Van Halen,1,2012
Do It For Love,Sheena Easton,10,1985
Contagious,The Isley Brothers Featuring Ronald Isley,19,2001
Start All Over,Miley Cyrus,3,2008
Sink The Bismark,Johnny Horton,18,1960
Bennie And The Jets,Elton John,18,1974
Southern Cross,"Crosby, Stills & Nash",15,1982
Chain Hang Low,Jibbs,20,2006
Dance Tonight,Paul McCartney,2,2007
Pushover,Etta James,10,1963
(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,12,1967
A Lover's Question,Otis Redding,6,1969
Pretend,Carl Mann,7,1959
That's The Way Boys Are,Lesley Gore,9,1964
Pieces Of Ice,Diana Ross,10,1983
Butterfly Fly Away,Miley Cyrus & Billy Ray Cyrus,3,2009
Blow Your Mind (Mwah),Dua Lipa,1,2016
The Continental Walk,Hank Ballard And The Midnighters,8,1961
Fingertips - Pt 2,Little Stevie Wonder,15,1963
I Need To Know,Marc Anthony,16,1999
Hip Hop Hooray,Naughty By Nature,22,1993
Eye Of The Tiger,Survivor,25,1982
Mountain Of Love,Johnny Rivers,9,1964
Mighty Quinn (Quinn The Eskimo),Manfred Mann,11,1968
Hard,Rihanna Featuring Jeezy,16,2010
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,22,2017
Hurt,Timi Yuro,12,1961
Everybody Loves Me But You,Brenda Lee,11,1962
Get Up,Ciara Featuring Chamillionaire,20,2006
For You,Rick Nelson,10,1964
Keep On Dancing,The Gentrys,13,1965
Goodbye,Mary Hopkin,9,1969
La La La (If I Had You),Bobby Sherman,6,1969
Don't Wanna Think About Paula,Dickey Lee,5,1963
Patricia,Perez Prado And His Orchestra,14,1958
Party In The U.S.A.,Miley Cyrus,18,2009
Chained To The Rhythm,Katy Perry Featuring Skip Marley,15,2017
Sign Of The Times,Harry Styles,13,2017
Sicko Mode,Travis Scott,20,2018
Story Of My Life,One Direction,7,2013
Skyfall,Adele,11,2012
Starships,Nicki Minaj,31,2012
Skyscraper,Demi Lovato,15,2011
So Good,B.o.B,18,2012
Semi-Charmed Life,Third Eye Blind,26,1997
Color Him Father,The Winstons,13,1969
Swingin' School,Bobby Rydell,12,1960
Another Night,Real McCoy,19,1994
A Thousand Miles,Vanessa Carlton,41,2002
I Ain't Gonna Eat Out My Heart Anymore,The Young Rascals,8,1966
Little Boxes,Pete Seeger,8,1964
Let Her Go,Passenger,20,2013
Losin' Myself,Debbie Gibson,5,1993
Miss You,Jaye P. Morgan,5,1959
Merry-Go-Round,Marv Johnson,6,1961
Innocent Eyes,Graham Nash,7,1986
Headline News,Edwin Starr,4,1966
From Her Mama (Mama Got A**),Juvenile,8,2001
Fever/My Crew,Rita Coolidge,6,1973
Let Me See Ya Girl,Cole Swindell,18,2015
Killer Joe,The Kingsmen,4,1966
Hard To Love,Lee Brice,23,2012
Jubilation,Paul Anka,9,1972
Freek-A-Leek,Petey Pablo,39,2004
I Threw It All Away,Bob Dylan,5,1969
Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,35,2003
He's The Greatest Dancer,Sister Sledge,19,1979
It's All Over Now,The Rolling Stones,10,1964
Landslide,Dixie Chicks,15,2002
In The Middle Of A Heartache,Wanda Jackson,10,1961
Groove Thang,Zhane,20,1994
It Was A Very Good Year,Frank Sinatra,7,1966
In The Ayer,Flo Rida Featuring will.i.am,21,2008
Forever Young,Rod Stewart,22,1988
I've Got The Music In Me,The Kiki Dee Band,16,1974
Lookin' For A Love,Bobby Womack,17,1974
I Was Kaiser Bill's Batman,Whistling Jack Smith,7,1967
Love Myself,Hailee Steinfeld,16,2015
Here's To The Night,Eve 6,20,2001
My Special Angel,The Vogues,10,1968
Malibu,Miley Cyrus,15,2017
Money (That's what I want),Barrett Strong,17,1960
Give Me Your Love,Barbara Mason,12,1973
Stay With Me Tonight,Jeffrey Osborne,12,1983
The Best Day,George Strait,20,2000
Superman,Herbie Mann,18,1979
Sweet Potatoe Pie,Domino,19,1994
Almost Over You,Sheena Easton,16,1984
Sara Smile,Daryl Hall John Oates,28,1976
1st Of Tha Month,Bone Thugs-N-Harmony,19,1995
Sweets For My Sweet,The Drifters,11,1961
The Boys of Fall,Kenny Chesney,18,2010
Don't Ask Me Why,Billy Joel,15,1980
Come Monday,Jimmy Buffett,14,1974
Be Happy,Mary J. Blige,11,1995
Apple Green,June Valli,13,1960
Better Than Me,Hinder,20,2007
Prom Queen,Lil Wayne Featuring Shanell AKA SNL,11,2009
Both Of Us,B.o.B Featuring Taylor Swift,19,2012
D.O.A. (Death Of Auto-Tune),JAY-Z,7,2009
All That Matters,Justin Bieber,3,2013
Over You,Cassadee Pope,1,2012
Corona And Lime,Shwayze,8,2008
Smooth Criminal,Glee Cast Featuring 2Cellos,2,2012
Sidewalks,The Weeknd Featuring Kendrick Lamar,3,2016
Stop Trying To Be God,Travis Scott,2,2018
"Any Time, Any Place/And On And On",Janet Jackson,20,1994
Someone,SWV (Featuring Puff Daddy),20,1997
Believe,Mumford & Sons,15,2015
"Count On Me (From ""Waiting To Exhale"")",Whitney Houston & CeCe Winans,20,1996
Best Love Song,T-Pain Featuring Chris Brown,20,2011
"Closer To Free (From ""Party Of Five"")",BoDeans,20,1996
Rudolph The Red-Nosed Reindeer,Gene Autry,3,2018
Brokenhearted,Brandy,17,1995
Backseat,New Boyz Featuring The Cataracs & Dev,20,2011
That's How You Feel,Drake,2,2018
Cat's In The Cradle,Harry Chapin,13,1974
Along Came Jones,The Coasters,12,1959
Stick-Up,The Honey Cone,12,1971
Sea Of Love,The Honeydrippers,12,1984
Silent Lucidity,Queensryche,17,1991
(Where Do I Begin) Love Story,Andy Williams,13,1971
Come Undone,Duran Duran,25,1993
Take Your Time (Do It Right) Part 1,The S.O.S. Band,21,1980
The Boxer,Simon & Garfunkel,10,1969
Asia Minor,Kokomo,14,1961
Return Of The Mack,Mark Morrison,40,1997
Tell Me,Groove Theory,19,1995
Sweet Blindness,The 5th Dimension,10,1968
Peaches & Cream,112,29,2001
'65 Love Affair,Paul Davis,20,1982
Everyone's Agreed That Everything Will Turn Out Fine,Stealers Wheel,8,1973
If I Fell,The Beatles,9,1964
No If's - No And's,Lloyd Price and His Orchestra,7,1960
I'll Make You Mine,Bobby Vee With The Eligibles,8,1964
I'm Through With Love,Eric Carmen,3,1985
I'm Coming Home,Marv Johnson,4,1959
Hip Hug-Her,Booker T. & The MG's,13,1967
Happy Music,The Blackbyrds,13,1976
I Wish I Were,Andy Kim,6,1971
Love On My Mind Tonight,The Temptations,3,1983
Francene,ZZ Top,9,1972
Never Tell An Angel (When Your Heart's On Fire),The Stompers,4,1983
Jenny Lou,Sonny James,6,1960
My Give A Damn's Busted,Jo Dee Messina,20,2005
Just Got Lucky,Joboxers,15,1983
No One Will Ever Know,Jimmie Rodgers,11,1962
Johnny Get Angry,Joanie Sommers,14,1962
Jealous,Gene Loves Jezebel,10,1990
Mamacita,The Grass Roots,11,1975
Like A Wrecking Ball,Eric Church,22,2015
I'm So Proud,The Main Ingredient,10,1971
Magic Man,Herb Alpert,5,1981
Everybody Doesn't,Amanda,6,2001
Nasty Girl,Nitty,9,2004
My Buddy Seat,The Hondells,1,1965
My Love Goes On And On,Chris Cagle,11,2000
Let Me Go,Heaven 17,5,1983
Little Talks,Of Monsters And Men,30,2012
Neva End,Future,18,2013
No Good To Cry,The Wildweeds,4,1967
It Should Have Been Me,Yvonne Fair,5,1976
Let's Do Something Cheap And Superficial,Burt Reynolds,5,1980
Here Come Da Judge,The Buena Vistas,4,1968
Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert,6,2018
I Miss You,DMX Featuring Faith Evans,7,2002
Long Promised Road,The Beach Boys,5,1971
Love Is All You Need,High Inergy,5,1978
Let's Go,The Cars,15,1979
Electric Blue,Icehouse,21,1988
Keep It Comin',Keith Sweat,15,1992
